Variable,Position,Label,Measurement Level
Q11_8bDV9,362,Whether get information about how to prepare and cook food safely at home from: Food websites,Nominal
Q11_8bDV10,363,Whether get information about how to prepare and cook food safely at home from: TV / radio campaigns,Nominal
Q11_8bDV11,364,Whether get information about how to prepare and cook food safely at home from: Books,Nominal
Q11_8bDV12,365,Whether get information about how to prepare and cook food safely at home from: Internet search engine,Nominal
Q11_8bDV13,366,Whether get information about how to prepare and cook food safely at home from: Social media,Nominal
Q11_8bDV14,367,Whether get information about how to prepare and cook food safely at home from: Product packaging,Nominal
Q11_8bDV15,368,Whether get information about how to prepare and cook food safely at home from: Doctor / GP,Nominal
Q11_8bDV16,369,Whether get information about how to prepare and cook food safely at home from: Other (specify),Nominal
Q11_8bDV17,370,Whether get information about how to prepare and cook food safely at home from: I don't look for information on food safety,Nominal
overallrp,371,(D) New (revised) IRP,Nominal
chemknow1,372,"(D) Chemicals deliberately added to food by producers (e.g. colourings, sweeteners, preservatives)",Nominal
chemknow2,373,"(D) Chemical residues from the food production process (e.g. pesticides, veterinary medicines)",Nominal
chemknow3,374,"(D) Chemicals that can occur naturally in food (e.g. naturally occuring toxins, heavy metals such as lead)",Nominal
chemknow4,375,(D) Chemicals that can be formed during the cooking process (e.g. through cooking at high temperatures or through smoking of food),Nominal
chemiop1,376,(D) The benefits of using chemicals in food production outweigh the risks,Nominal
chemiop2,377,(D) I would like more information about what I can personally do to limit the presence of chemicals in food,Nominal
chemiop3,378,(D) I am concerned about possible long-term health effects of chemicals in food,Nominal
chemiop4,379,(D) I believe the presence of chemicals in food is well regulated,Nominal
healthn,380,"(D) H2_1 Overall, in your opinion, would you say that what you usually eat is .. Net healthy/unhealthy",Nominal
h2_10_dv,381,(D) H2_10 Do you think frozen vegetables can be counted towards the daily fruit and vegetable intake ?,Nominal
h2_11_dv,382,(D) H2_10 Do you think jam can be counted towards the daily fruit and vegetable intake ?,Nominal
h2_12_dv,383,(D) H2_10 Do you think pure fruit juice can be counted towards the daily fruit and vegetable intake ?,Nominal
h2_13_dv,384,(D) H2_10 Do you think jacket potato can be counted towards the daily fruit and vegetable intake ?,Nominal
h2_14_dv,385,"(D) H2_10 Do you think dried fruit, for example raisins or apricots can be counted towards the daily fruit and vegetable intake ?",Nominal
h2_15_dv,386,(D) H2_10 Do you think rice can be counted towards the daily fruit and vegetable intake ?,Nominal
h2_16_dv,387,"(D) H2_10 Do you think tinned fruit or vegetables, for example, peaches or sweetcorn can be counted towards the daily fruit and vegetable intake ?",Nominal
h2_17_dv,388,(D) H2_10 Do you think fruit smoothies can be counted towards the daily fruit and vegetable intake ?,Nominal
h2_18_dv,389,"(D) H2_10 Do you think pulses such as lentils, chick peas or kidney beans can be counted towards the daily fruit and vegetable intake ?",Nominal
h2_19_dv,390,(D) H2_10 Do you think baked beans can be counted towards the daily fruit and vegetable intake ?,Nominal
H2_20,391,"Thinking just about YESTERDAY can you tell me how many portions of vegetables - including salad, fresh, frozen or tinned vegetables you ate?",Nominal
H2_21,392,Thinking just about YESTERDAY did you have a portion of fruit juice?,Nominal
H2_22,393,"Thinking just about YESTERDAY can you tell me how many portions of fruit - fresh, frozen, tinned or dried you ate?",Nominal
dh2_11_12_13,394,(D) H2_11/H2_12/H2_13 Total number of portions of fruit and vegetables consumed yesterday?,Nominal
totcon,395,(D) H2_11/H2_12/H2_13 Total number of portions of fruit and vegetables consumed yesterday?,Nominal
totrec,396,(D) How many portions of fruit and vegetables do you think that health experts recommend people should eat every day?,Nominal
h2_23_dv,397,"(D) H2_14 At the moment, how often do you eat biscuits, pastries and cakes ?",Nominal
h2_24_dv,398,"(D) H2_14 At the moment, how often do you eat sweets and chocolate?",Nominal
h2_25_dv,399,"(D) H2_14 At the moment, how often do you eat savoury snacks (e.g. crisps)?",Nominal
h2_26_dv,400,"(D) H2_14 At the moment, how often do you eat bread, rice, pasta, potatoes and other starchy foods?",Nominal
h2_27_dv,401,"(D) H2_14 At the moment, how often do you eat fried chips or roast potatoes?",Nominal
h2_28_dv,402,"(D) H2_14 At the moment, how often do you eat oily fish, like salmon, sardines, mackerel or fresh tuna?",Nominal
h2_29_dv,403,"(D) H2_14 At the moment, how often do you eat fruit and vegetables?",Nominal
h2_40_dv,404,"(D) Eating foods such as bread, rice, pasta and potatoes (net important)",Nominal
h2_41_dv,405,(D) Eating fruit and vegetables (net important),Nominal
h2_42_dv,406,"(D) Eating fish, including oily fish (net important)",Nominal
h2_43_dv,407,(D) Limiting foods high in saturated fat (net important),Nominal
h2_44_dv,408,(D) Limiting foods high in total fat (net important),Nominal
h2_45_dv,409,(D) Limiting food and drinks high in sugar (net important),Nominal
h2_46_dv,410,(D) Eating less salt (net important),Nominal
h2_47_dv,411,(D) Keeping to a healthy weight (net important),Nominal
h2_48_dv,412,(D) Drinking plenty of water (net important),Nominal
h2_49_dv,413,(D) Eating breakfast every day (net important),Nominal
h2_50_dv,414,(D) Eating white meat such as chicken or turkey (net important),Nominal
h2_51_dv,415,"(D) Eating dairy produce such as cheese, milk or yoghurt (net important)",Nominal
h2_52_dv,416,"(D) Eating pulses such as soya beans, lentils or chickpeas (net important)",Nominal
h2_53_dv,417,(D) Eating the right amount of calories each day (net important),Nominal
fvcorre,418,(D) EatWell guide exercise -  Fruit and vegetables correctly placed,Nominal
cacorre,419,"(D) EatWell guide exercise - Potatoes, bread, rice, pasta and other starchy carbohydrates correctly placed",Nominal
oicorre,420,(D) EatWell guide exercise - Oil and spreads correctly placed,Nominal
dacorre,421,(D) EatWell guide exercise - Dairy and alternatives correctly placed,Nominal
prcorre,422,"(D) EatWell guide exercise - Beans, pulses, fish, eggs, meat and other proteins correctly placed",Nominal
fscorre,423,"(D) EatWell guide exercise - Foods high in fat, salt and sugars correctly placed",Nominal
ovcorre,424,(D) Past/present EatWell exercise - overall correct,Nominal
H2_19DV1,425,"Eating more bread, rice, potatoes, pasta and other starchy foods",Nominal
H2_19DV2,426,"Eating less bread, rice, potatoes, pasta and other starchy foods",Nominal
H2_19DV3,427,Eating more fruit and vegetables,Nominal
H2_19DV4,428,"Eating more fish, including oily fish",Nominal
H2_19DV5,429,Eating less food high in saturated fat,Nominal
H2_19DV6,430,Eating less food high in fat in general,Nominal
H2_19DV7,431,Eating less food high in sugar,Nominal
H2_19DV8,432,Eating less meat,Nominal
H2_19DV9,433,"Eating less salt, for example eating less salty food, not adding salt during cooking or to a meal before eating",Nominal
H2_19DV10,434,Eating fewer calories,Nominal
H2_19DV11,435,Eating more calories,Nominal
H2_19DV12,436,Eating larger portions,Nominal
H2_19DV13,437,Eating smaller portions,Nominal
H2_19DV14,438,None of these,Nominal
H2_19DV15,439,Other,Nominal
h2_25b,440,(D) H2_25 Can you tell me what you think is the recommended number of calories average women should eat a day? (Spontaneous),Nominal
h2_26b,441,(D) H2_26 Can you tell me what you think is the recommended number of calories average men should eat a day? (Spontaneous),Nominal
h2_27fb,442,"(D) H2_27(women) How much fat, in grams, do you think an average woman should eat each day? (Spontaneous)",Nominal
h2_27mb,443,"(D) H2_27(men) How much fat, in grams, do you think an average man should eat each day? (Spontaneous)",Nominal
h2_28fb,444,"(D) H2_28(women) It is recommended that the average woman should eat no more than 70g of fat a day. How much of this, in grams, do you think is the maximum recommended amount of saturated fats? (Spontaneous)",Nominal
h2_28mb,445,"(D) H2_28(men) It is recommended that the average man should eat no more than 95g of fat a day. How much of this, in grams, do you think is the maximum recommended amount of saturated fats? (Spontaneous)",Nominal
H2_42,446,It is recommended that we should eat no more than a certain amount of salt each day. How much salt do you think this is for adults?,Nominal
H2_43,447,"In your opinion, when you eat out, how healthy would you say the food that you eat is, compared to when you eat at home?",Nominal
H2_401,448,Restaurants,Nominal
H2_402,449,Pubs,Nominal
H2_403,450,"Cafes, Coffee shops and sandwich shops",Nominal
H2_404,451,Fast food restaurants,Nominal
H2_405,452,Workplace canteens,Nominal
H2_406,453,"Food outlets in cinemas, bowling alleys, theme parks or other leisure facilities",Nominal
H2_407,454,"Takeaway outlets e.g. Indian, Chinese, Pizza, fish and chips",Nominal
H2_408,455,Street food stalls or pop out,Nominal
H2_409,456,None of these,Nominal
Q6_1,457,General health status,Nominal
Q6_2_W5,458,Whether have any physical or mental health conditions or illnesses lasting 12 months or more,Nominal
eyesight,459,"(D) At the present time, how would you rate your eyesight using both eyes (with glasses or contact lenses, if you wear them)?",Nominal
a1dv,460,"(D) And now a general question about trust. On a scale from zero to ten, where zero is not at all and ten is completely, in general how much do you trust most people? (summary)",Nominal
a2dv,461,"(D) On a scale from zero to ten, where zero is not at all and ten is completely, in general how much do you trust most people you know personally? (summary)",Nominal
a3dv,462,(D) Trust of The British Parliament,Nominal
a4dv_comb,463,(D) Trust of the police,Nominal
heardorgc1,464,"Whether heard of: Department of Health, now also known as Department of Health and Social Care (DHSC)",Nominal
heardorgc2,465,Whether heard of: Public Health England (PHE) / Public Health Agency (PHA),Nominal
heardorgc3,466,Whether heard of: Food Standards Agency (FSA),Nominal
heardorgc4,467,Whether heard of: National Institute for Health and Care Excellence (NICE),Nominal
heardorgc5,468,"Whether heard of: Department for Environment, Food and Rural Affairs (DEFRA)",Nominal
heardorgc6,469,"Whether heard of: OFCOM, Office of Communications",Nominal
heardorgc7,470,Whether heard of: Health and Safety Executive (HSE),Nominal
heardorgc8,471,"Whether heard of: Northern Ireland agencies (DHSSPS, Safefood, DAERA)",Nominal
heardorgc9,472,Whether heard of: None of these organisations,Nominal
HeardFSA,473,Had you heard of the Food Standards Agency before you were contacted to take part in this interview?,Nominal
C1,474,"If you wanted to report a food related issue to the FSA, how likely or unlikely do you think it would be that the problem would be looked into?",Nominal
C2,475,"If there was a food poisoning outbreak, how likely or unlikely do you think it would be that the FSA would take action to protect the public?",Nominal
C3,476,"If new evidence about food safety came to light, how likely or unlikely do you think it would be that the FSA would inform the public?",Nominal
C4,477,"If new evidence about food safety came to light, how likely or unlikely do you think it would be that the FSA would respond as soon as possible?",Nominal
C5,478,"If new evidence about food safety came to light, how likely or unlikely do you think it would be that the FSA would tell the truth about it to the public?",Nominal
C6,479,"In general, how likely or unlikely do you think it is that the FSA is impartial? By this we mean that the FSA acts independently or external sources?",Nominal
C7,480,"In general, how likely or unlikely do you think it would be that the FSA puts the public first?",Nominal
c1dv,481,"(D) If you wanted to report a food related issue to the FSA, how likely or unlikely do you think it would be that the problem would be looked into? (summary)",Nominal
c2dv,482,"(D) If there was a food poisoning outbreak, how likely or unlikely do you think it would be that the FSA would take action to protect the public? (summary)",Nominal
c3dv,483,"(D) If new evidence about food safety came to light, how likely or unlikely do you think it would be that the FSA would inform the public? (summary)",Nominal
c4dv,484,"(D) If new evidence about food safety came to light, how likely or unlikely do you think it would be that the FSA would respond as soon as possible? (summary)",Nominal
c5dv,485,"(D) If new evidence about food safety came to light, how likely or unlikely do you think it would be that the FSA would tell the truth about it to the public? (summary)",Nominal
c6dv,486,"(D) In general, how likely or unlikely do you think it is that the FSA is impartial? By this we mean that the FSA acts independently or external sources? (summary)",Nominal
c7dv,487,"(D) In general, how likely or unlikely do you think it would be that the FSA puts the public first? (summary)",Nominal
D1,488,"If you were buying food and groceries in Britain, how sure or unsure would you be that you know where the food has come from?",Nominal
D2,489,"If you were buying food and groceries in Britain, how sure or unsure would you be that the food that comes from Britain has been prepared to the highest quality standards?",Nominal
D3,490,"If you were buying food and groceries in Britain, how sure or unsure would you be that the food that comes from abroad has been prepared to the highest quality standards?",Nominal
D4,491,"If you were buying food and groceries in Britain, how sure or unsure would you be that all the guidelines have been properly followed at all stages in bringing food from the farm to your house?",Nominal
D5,492,"If you were buying food and groceries in Britain, how sure or unsure would you be that foods bought for your household are safe to eat?",Nominal
Label,493,"In general, when buying or eating food, how often do you feel confident that it is what is says it is on the label or the menu?",Nominal
FdAuthAct_MC1,494,Action taken as not confident that food was what it said it was: Tried to get more information about the issue,Nominal
FdAuthAct_MC2,495,Action taken as not confident that food was what it said it was: Read about the issue when you saw it but did not seek out,Nominal
FdAuthAct_MC3,496,Action taken as not confident that food was what it said it was: Read food labels more carefully,Nominal
FdAuthAct_MC4,497,Action taken as not confident that food was what it said it was: Changed the way you cook food,Nominal
FdAuthAct_MC5,498,Action taken as not confident that food was what it said it was: Changed the way you prepare food,Nominal
FdAuthAct_MC6,499,Action taken as not confident that food was what it said it was: Stopped shopping for food at certain places,Nominal
FdAuthAct_MC7,500,Action taken as not confident that food was what it said it was: Stopped eating certain foods,Nominal
FdAuthAct_MC8,501,Action taken as not confident that food was what it said it was: Other action,Nominal
FdAuthAct_MC9,502,Action taken as not confident that food was what it said it was: Took no action,Nominal
,,,
,,,
,,,
,,,
FdAuthAct_MC2,515,Read about the issue when you saw it but did not seek out,Nominal
FdAuthAct_MC3,516,Read food labels more carefully,Nominal
FdAuthAct_MC4,517,Changed the way you cook food,Nominal
FdAuthAct_MC5,518,Changed the way you prepare food,Nominal
FdAuthAct_MC6,519,Stopped shopping for food at certain places,Nominal
FdAuthAct_MC7,520,Stopped eating certain foods,Nominal
FdAuthAct_MC8,521,Other (specify),Nominal
FdAuthAct_MC9,522,Took no action,Nominal
